Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$30.08
,Compute:,US East (N. Virginia),$30.08
Amazon S3 Service (US East (N. Virginia)),,,,$0.14
,S3 Standard Storage:,US East (N. Virginia),$0.12
,S3 Standard Put Requests:,US East (N. Virginia),$0.01
,S3 Standard Other Requests:,US East (N. Virginia),$0.01
Amazon Route 53 Service (US East (N. Virginia)),,,,$1
,Hosted Zones:,US East (N. Virginia),$1
Amazon CloudFront Service,,,,$1.7
,Data Transfer Out:,Global,$1.7
Amazon RDS Service (US East (N. Virginia)),,,,$723.54
,DB instances:,US East (N. Virginia),$718.94
,Storage:,US East (N. Virginia),$4.6
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$18.42
,Classic LBs:,US East (N. Virginia),$18.3
,Data Processed by Classic LBs:,US East (N. Virginia),$0.12
Amazon DynamoDB Service (US East (N. Virginia)),,,,$0
,Provisioned Capacity:,US East (N. Virginia),$0
,On-demand Data Storage:,US East (N. Virginia),$0
,Provisioned Data Storage:,US East (N. Virginia),$0
,DynamoDB Streams:,US East (N. Virginia),$0
,On-demand backup:,US East (N. Virginia),$0
,Continuous backup (PITR):,US East (N. Virginia),$0
,Restoring a table:,US East (N. Virginia),$0
,Change Data Capture:,US East (N. Virginia),$0
,Data export to Amazon S3:,US East (N. Virginia),$0
Amazon ElastiCache Service (US East (N. Virginia)),,,,$245.97
,On-Demand Cache Nodes:,US East (N. Virginia),$245.97
Amazon SNS Service (US East (N. Virginia)),,,,$0
,Requests:,US East (N. Virginia),$0
,Notifications:,US East (N. Virginia),$0
Amazon SQS Service (US East (N. Virginia)),,,,$0
,Requests - Standard Queue:,US East (N. Virginia),$0
,Requests - FIFO Queue:,US East (N. Virginia),$0
Amazon VPC Service (US East (N. Virginia)),,,,$36.6
,VPN Connection:,US East (N. Virginia),$36.6
AWS Data Transfer In,,,,$0
,US East (N. Virginia) Region:,Global,$0
AWS Data Transfer Out,,,,$1.35
,US East (N. Virginia) Region:,Global,$1.35
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0
,,Free Tier Discount:,,$-38.91
,,Total Monthly Payment:,,$1019.89
